UF,Ano,Pessoas,Rural,Urbana,administracao_publica_na,administracao_publica_nao_qualificado,administracao_publica_qualificado,adulto,agricultura_na,agricultura_nao_qualificado,agricultura_ocupado,agricultura_ocupado_adulto,agricultura_ocupado_adulto_rural,agricultura_ocupado_adulto_urbana,agricultura_ocupado_crianca,agricultura_ocupado_crianca_rural,agricultura_ocupado_crianca_urbana,agricultura_ocupado_jovem,agricultura_ocupado_jovem_rural,agricultura_ocupado_jovem_urbana,agricultura_qualificado,alojamento_na,alojamento_nao_qualificado,alojamento_qualificado,atividades_mal_definidas_na,atividades_mal_definidas_nao_qualificado,atividades_mal_definidas_qualificado,comercio_na,comercio_nao_qualificado,comercio_qualificado,construcao_na,construcao_nao_qualificado,construcao_qualificado,crianca,criancas_menos14,desocupado,educacao_saude_na,educacao_saude_nao_qualificado,educacao_saude_qualificado,fora_forca_trabalho,fora_forca_trabalho_na,fora_forca_trabalho_nao_potencial,fora_forca_trabalho_potencial,forca_trabalho,forca_trabalho_desocupado,forca_trabalho_na,forca_trabalho_ocupado,idade_media_agricultura,industria_na,industria_nao_qualificado,industria_qualificado,informacao_na,informacao_nao_qualificado,informacao_qualificado,jovem,nao_qualificado,ocupacao_na,ocupado,ocupado_nao_subocupado,ocupado_subocupado,outros_servicos_na,outros_servicos_nao_qualificado,outros_servicos_qualificado,populacao_14mais,potencial_desalentado,potencial_nao_desalentado,qualificacao_na,qualificado,rural_administracao_publica,rural_adulto,rural_agricultura,rural_agricultura_adulto,rural_agricultura_crianca,rural_agricultura_escolaridade_na,rural_agricultura_fundamental_completo,rural_agricultura_fundamental_incompleto,rural_agricultura_jovem,rural_agricultura_medio_completo,rural_agricultura_medio_incompleto,rural_agricultura_sem_instrucao,rural_agricultura_superior_completo,rural_agricultura_superior_incompleto,rural_alojamento,rural_atividades_mal_definidas,rural_comercio,rural_construcao,rural_crianca,rural_educacao_saude,rural_escolaridadeNA,rural_fundamental_completo,rural_fundamental_incompleto,rural_industria,rural_informacao,rural_jovem,rural_medio_completo,rural_medio_incompleto,rural_nao_qualificado,rural_outros_servicos,rural_qualificacao_na,rural_qualificado,rural_sem_instrucao,rural_servicos_domesticos,rural_setor_na,rural_superior_completo,rural_superior_incompleto,rural_transporte,servicos_domesticos_na,servicos_domesticos_nao_qualificado,servicos_domesticos_qualificado,setor_administracao_publica,setor_agricultura,setor_alojamento,setor_atividades_mal_definidas,setor_comercio,setor_construcao,setor_educacao_saude,setor_industria,setor_informacao,setor_na,setor_na_na,setor_na_nao_qualificado,setor_na_qualificado,setor_outros_servicos,setor_servicos_domesticos,setor_transporte,transporte_na,transporte_nao_qualificado,transporte_qualificado,urbano_administracao_publica,urbano_adulto,urbano_agricultura,urbano_agricultura_adulto,urbano_agricultura_crianca,urbano_agricultura_escolaridade_na,urbano_agricultura_fundamental_completo,urbano_agricultura_fundamental_incompleto,urbano_agricultura_jovem,urbano_agricultura_medio_completo,urbano_agricultura_medio_incompleto,urbano_agricultura_sem_instrucao,urbano_agricultura_superior_completo,urbano_agricultura_superior_incompleto,urbano_alojamento,urbano_atividades_mal_definidas,urbano_comercio,urbano_construcao,urbano_crianca,urbano_educacao_saude,urbano_escolaridadeNA,urbano_fundamental_completo,urbano_fundamental_incompleto,urbano_industria,urbano_informacao,urbano_jovem,urbano_medio_completo,urbano_medio_incompleto,urbano_nao_qualificado,urbano_outros_servicos,urbano_qualificacao_na,urbano_qualificado,urbano_sem_instrucao,urbano_servicos_domesticos,urbano_setor_na,urbano_superior_completo,urbano_superior_incompleto,urbano_transporte
Acre,2012,777022.0,184139.0,592883.0,0.0,21164.0,17983.0,304132.0,0.0,51589.0,51881.0,34643.0,25164.0,9479.0,0.0,0.0,0.0,17238.0,14329.0,2909.0,292.0,0.0,10639.0,1090.0,0.0,0.0,0.0,0.0,50786.0,5724.0,0.0,23119.0,746.0,240977.0,240977.0,27573.0,0.0,15398.0,17095.0,212514.0,0.0,183870.0,28644.0,323530.0,27573.0,0.0,295957.0,37.18,0.0,18670.0,1616.0,0.0,15996.0,5341.0,231913.0,630383.0,453491.0,295957.0,274053.0,21904.0,0.0,6871.0,1873.0,536045.0,8694.0,19951.0,79923.0,66715.0,3682.0,66677.0,39493.0,25164.0,0.0,0.0,3254.0,24081.0,14329.0,1929.0,1595.0,8586.0,39.0,9.0,767.0,0.0,4328.0,2115.0,68058.0,4017.0,22616.0,11489.0,91449.0,5508.0,1277.0,49404.0,11328.0,7895.0,157413.0,539.0,22616.0,4110.0,35251.0,2733.0,119012.0,2803.0,1307.0,669.0,0.0,20613.0,244.0,39147.0,51881.0,11729.0,0.0,56510.0,23865.0,32493.0,20286.0,21337.0,481065.0,79923.0,387245.0,13897.0,8744.0,20857.0,9109.0,0.0,8295.0,814.0,35465.0,237456.0,12388.0,9479.0,0.0,0.0,1132.0,6782.0,2909.0,1183.0,446.0,2601.0,171.0,73.0,10962.0,0.0,52182.0,21749.0,172919.0,28477.0,57307.0,55331.0,204785.0,14778.0,20060.0,182508.0,110975.0,33170.0,472971.0,8205.0,57307.0,62605.0,68710.0,18124.0,362053.0,42342.0,20263.0,8440.0
Acre,2013,788135.0,193622.0,594513.0,0.0,23033.0,25955.0,305211.0,0.0,55984.0,56642.0,37847.0,29070.0,8777.0,0.0,0.0,0.0,18795.0,15420.0,3374.0,658.0,0.0,11646.0,1107.0,0.0,0.0,0.0,0.0,49442.0,5761.0,0.0,25893.0,931.0,239278.0,239278.0,29556.0,0.0,7929.0,10672.0,223222.0,0.0,193081.0,30142.0,325635.0,29556.0,0.0,296079.0,37.2,0.0,15946.0,1507.0,0.0,14837.0,5288.0,243646.0,634934.0,462500.0,296079.0,276844.0,19235.0,0.0,8512.0,1754.0,548857.0,10365.0,19777.0,80442.0,72759.0,5158.0,70227.0,44490.0,29070.0,0.0,0.0,4736.0,26323.0,15420.0,2697.0,1911.0,8714.0,64.0,45.0,802.0,0.0,3799.0,1588.0,70963.0,1624.0,23075.0,14136.0,94669.0,4049.0,1064.0,52431.0,13749.0,7900.0,166707.0,806.0,23075.0,3840.0,36253.0,2503.0,126959.0,2362.0,1478.0,778.0,0.0,20313.0,208.0,48988.0,56642.0,12753.0,0.0,55203.0,26824.0,18601.0,17453.0,20125.0,492056.0,80442.0,393639.0,17975.0,10266.0,20520.0,8705.0,0.0,7762.0,944.0,43830.0,234984.0,12152.0,8777.0,0.0,0.0,1390.0,5702.0,3374.0,1336.0,420.0,2756.0,304.0,245.0,11951.0,0.0,51404.0,25236.0,168315.0,16976.0,57368.0,57081.0,198991.0,13403.0,19060.0,191214.0,105802.0,37606.0,468227.0,9460.0,57368.0,68918.0,68747.0,18017.0,365097.0,43773.0,25145.0,7927.0
Acre,2014,798353.0,206958.0,591394.0,0.0,20421.0,19981.0,314607.0,0.0,50534.0,51159.0,34508.0,28129.0,6379.0,0.0,0.0,0.0,16651.0,14117.0,2534.0,625.0,0.0,11714.0,895.0,0.0,0.0,0.0,0.0,49879.0,6271.0,0.0,19154.0,436.0,239049.0,239049.0,25533.0,0.0,11745.0,18943.0,229842.0,0.0,205534.0,24308.0,329461.0,25533.0,0.0,303928.0,37.8,0.0,21650.0,1510.0,0.0,24874.0,6256.0,244696.0,638892.0,468891.0,303928.0,292925.0,11003.0,0.0,8925.0,1929.0,559303.0,8047.0,16261.0,80925.0,78536.0,3072.0,76708.0,42246.0,28129.0,0.0,0.0,4410.0,22672.0,14117.0,3030.0,1928.0,9923.0,149.0,134.0,628.0,0.0,5305.0,1666.0,75996.0,4392.0,23684.0,15161.0,99535.0,8331.0,2718.0,54254.0,15281.0,8366.0,178150.0,713.0,23684.0,5124.0,39806.0,2461.0,134684.0,3009.0,2115.0,744.0,0.0,17820.0,308.0,40402.0,51159.0,12608.0,0.0,56150.0,19590.0,30688.0,23160.0,31130.0,494425.0,80925.0,393251.0,20250.0,10854.0,18128.0,10059.0,0.0,8927.0,1133.0,37330.0,237899.0,8913.0,6379.0,0.0,0.0,1004.0,3902.0,2534.0,967.0,337.0,2362.0,262.0,80.0,11980.0,0.0,50845.0,17924.0,163053.0,26296.0,57241.0,56741.0,192239.0,14829.0,28411.0,190442.0,110460.0,37191.0,460742.0,10142.0,57241.0,73411.0,64111.0,15667.0,359741.0,46157.0,27254.0,9315.0
Acre,2015,807725.0,224446.0,583278.0,0.0,15981.0,17414.0,327646.0,0.0,47344.0,48444.0,32735.0,25357.0,7377.0,0.0,0.0,0.0,15710.0,13153.0,2556.0,1100.0,0.0,11565.0,1551.0,0.0,0.0,0.0,0.0,49812.0,7903.0,0.0,19234.0,376.0,237329.0,237329.0,28875.0,0.0,12540.0,21421.0,232731.0,0.0,209083.0,23648.0,337665.0,28875.0,0.0,308790.0,37.65,0.0,29913.0,1765.0,0.0,22581.0,6772.0,242750.0,648862.0,470060.0,308790.0,294464.0,14326.0,0.0,8346.0,1754.0,570396.0,8950.0,14699.0,77148.0,81715.0,2331.0,82243.0,38510.0,25357.0,0.0,0.0,3870.0,20932.0,13153.0,3577.0,1558.0,8033.0,207.0,334.0,1424.0,0.0,5760.0,2333.0,80768.0,3767.0,24294.0,18684.0,111057.0,18425.0,1778.0,61435.0,16682.0,8958.0,194932.0,565.0,24294.0,5220.0,39551.0,3760.0,144691.0,3005.0,2215.0,1102.0,0.0,21529.0,362.0,33396.0,48444.0,13116.0,0.0,57714.0,19609.0,33961.0,31678.0,29352.0,498935.0,77148.0,401258.0,20529.0,10100.0,21891.0,9527.0,0.0,8759.0,768.0,31065.0,245403.0,9934.0,7377.0,0.0,0.0,1042.0,4363.0,2556.0,1599.0,463.0,1908.0,393.0,166.0,11692.0,0.0,51955.0,17276.0,156561.0,30195.0,52854.0,55368.0,189104.0,13252.0,27574.0,181314.0,115230.0,35661.0,453930.0,9535.0,52854.0,76495.0,58566.0,18131.0,354244.0,49405.0,27090.0,8426.0
Acre,2016,816308.0,218660.0,597648.0,0.0,12172.0,16747.0,337041.0,0.0,47007.0,47964.0,32967.0,24629.0,8338.0,0.0,0.0,0.0,14997.0,12212.0,2786.0,957.0,0.0,11658.0,1405.0,0.0,0.0,0.0,0.0,46229.0,7047.0,0.0,20633.0,771.0,232023.0,232023.0,35390.0,0.0,14458.0,25316.0,260300.0,0.0,230495.0,29806.0,323985.0,35390.0,0.0,288595.0,38.0,0.0,21828.0,1309.0,0.0,14367.0,7168.0,247245.0,652415.0,492323.0,288595.0,280263.0,8332.0,0.0,8113.0,2312.0,584285.0,16605.0,13200.0,76221.0,87672.0,1746.0,80670.0,36841.0,24629.0,0.0,0.0,2983.0,19880.0,12212.0,3797.0,1842.0,7868.0,300.0,171.0,1526.0,0.0,3828.0,2009.0,76142.0,4703.0,23728.0,14745.0,106653.0,10562.0,1198.0,61847.0,18363.0,11164.0,189470.0,734.0,23728.0,5461.0,38546.0,2458.0,151724.0,3561.0,1900.0,1332.0,0.0,18778.0,451.0,28919.0,47964.0,13063.0,0.0,53275.0,21404.0,39774.0,23137.0,21534.0,527713.0,76221.0,428097.0,23394.0,10425.0,19228.0,9871.0,0.0,9077.0,795.0,27173.0,256371.0,11124.0,8338.0,0.0,0.0,990.0,5349.0,2786.0,1746.0,469.0,2083.0,389.0,98.0,11537.0,0.0,49448.0,19395.0,155880.0,35071.0,52494.0,48103.0,198601.0,12575.0,20337.0,185397.0,119335.0,40406.0,462944.0,9690.0,52494.0,82210.0,56500.0,16770.0,375988.0,53093.0,29117.0,8540.0
Acre,2017,824118.0,223966.0,600152.0,0.0,11616.0,17748.0,343672.0,0.0,36376.0,36838.0,24791.0,18833.0,5959.0,0.0,0.0,0.0,12047.0,9571.0,2476.0,462.0,0.0,13662.0,1731.0,0.0,20.0,0.0,0.0,46093.0,8349.0,0.0,18336.0,939.0,226978.0,226978.0,47574.0,0.0,13627.0,23663.0,261954.0,0.0,218403.0,43551.0,335186.0,47574.0,0.0,287612.0,38.41,0.0,28716.0,1734.0,0.0,15634.0,7879.0,253468.0,656811.0,488932.0,287612.0,271758.0,15854.0,0.0,9168.0,2620.0,597140.0,25673.0,17878.0,74555.0,92752.0,1577.0,81705.0,28404.0,18833.0,0.0,0.0,2593.0,15599.0,9571.0,2885.0,1588.0,5503.0,75.0,160.0,1585.0,20.0,4099.0,1481.0,76279.0,4922.0,24381.0,15652.0,108402.0,15987.0,1061.0,65982.0,19317.0,12751.0,193885.0,767.0,24381.0,5700.0,37763.0,2577.0,160296.0,3553.0,2148.0,1190.0,0.0,19493.0,563.0,29364.0,36838.0,15393.0,20.0,54442.0,19275.0,37290.0,30450.0,23512.0,536507.0,74555.0,435713.0,26239.0,11788.0,20055.0,9184.0,0.0,8357.0,827.0,27786.0,261967.0,8434.0,5959.0,0.0,0.0,740.0,4287.0,2476.0,1252.0,493.0,1435.0,83.0,143.0,13808.0,0.0,50343.0,17794.0,150699.0,32367.0,50173.0,46094.0,196015.0,14463.0,22452.0,187486.0,125445.0,40446.0,462926.0,11022.0,50173.0,87052.0,54926.0,17479.0,376210.0,56703.0,30349.0,7994.0
Acre,2018,831197.0,230473.0,600724.0,0.0,11479.0,16561.0,357169.0,0.0,37626.0,38208.0,25985.0,21282.0,4703.0,0.0,0.0,0.0,12222.0,9703.0,2520.0,581.0,0.0,13118.0,1480.0,0.0,0.0,0.0,0.0,50325.0,11039.0,0.0,16629.0,1078.0,222603.0,222603.0,47450.0,0.0,14053.0,26230.0,263240.0,0.0,208644.0,54596.0,345355.0,47450.0,0.0,297905.0,39.51,0.0,30692.0,1731.0,0.0,17150.0,9288.0,251425.0,650611.0,485842.0,297905.0,280527.0,17378.0,0.0,9502.0,3242.0,608594.0,34432.0,20164.0,77316.0,103269.0,1968.0,88577.0,30985.0,21282.0,0.0,0.0,2928.0,17238.0,9703.0,3755.0,1927.0,4790.0,287.0,61.0,1159.0,0.0,3911.0,894.0,74138.0,5821.0,23550.0,14430.0,112716.0,18465.0,1888.0,67758.0,22267.0,13556.0,199639.0,685.0,23550.0,7284.0,36670.0,1927.0,161876.0,5159.0,2124.0,894.0,0.0,16163.0,739.0,28041.0,38208.0,14598.0,0.0,61364.0,17707.0,40283.0,32424.0,26438.0,533292.0,77316.0,426090.0,29886.0,12743.0,16902.0,9197.0,0.0,7783.0,1414.0,26073.0,268593.0,7223.0,4703.0,0.0,0.0,944.0,3487.0,2520.0,1060.0,863.0,635.0,182.0,51.0,13439.0,0.0,57453.0,16814.0,148465.0,34462.0,53766.0,43994.0,187980.0,13959.0,24550.0,183667.0,129253.0,38775.0,450972.0,12058.0,53766.0,95986.0,50971.0,14975.0,371416.0,65013.0,30973.0,8304.0
Acre,2019,837596.0,232733.0,604863.0,0.0,9426.0,17157.0,375005.0,0.0,36090.0,36881.0,26659.0,21734.0,4925.0,0.0,0.0,0.0,10223.0,8826.0,1396.0,791.0,0.0,13571.0,1495.0,0.0,30.0,0.0,0.0,48063.0,10993.0,0.0,18279.0,954.0,214101.0,214101.0,50256.0,0.0,13934.0,27892.0,282279.0,0.0,221026.0,61253.0,341216.0,50256.0,0.0,290960.0,40.49,0.0,25285.0,1802.0,0.0,17678.0,8581.0,248490.0,650320.0,496380.0,290960.0,271678.0,19282.0,0.0,9085.0,2925.0,623495.0,41697.0,19556.0,75988.0,111288.0,1138.0,93412.0,30560.0,21734.0,0.0,0.0,3245.0,16761.0,8826.0,4782.0,1935.0,3402.0,270.0,163.0,1229.0,0.0,4055.0,1187.0,69042.0,6852.0,25386.0,16273.0,108572.0,15993.0,2281.0,70279.0,28487.0,13259.0,198950.0,698.0,25386.0,8397.0,32359.0,2291.0,165561.0,6479.0,1918.0,889.0,0.0,17013.0,656.0,26583.0,36881.0,15067.0,30.0,59056.0,19233.0,41826.0,27087.0,26258.0,546636.0,75988.0,433835.0,36813.0,12010.0,17669.0,9261.0,0.0,8032.0,1229.0,25445.0,281593.0,6321.0,4925.0,0.0,0.0,504.0,3445.0,1396.0,983.0,336.0,695.0,242.0,116.0,13838.0,30.0,55001.0,18046.0,145059.0,34975.0,50601.0,41845.0,181499.0,11093.0,23977.0,178211.0,131855.0,40867.0,451370.0,11312.0,50601.0,102892.0,55303.0,15378.0,381075.0,72863.0,30029.0,8372.0
Acre,2020,843367.0,210315.0,633052.0,0.0,11533.0,17694.0,381703.0,0.0,32521.0,33896.0,25259.0,20000.0,5259.0,0.0,0.0,0.0,8637.0,7377.0,1260.0,1375.0,0.0,12516.0,1871.0,0.0,0.0,0.0,0.0,43521.0,11552.0,0.0,17500.0,1025.0,211267.0,211267.0,49797.0,0.0,9777.0,29473.0,305583.0,0.0,232093.0,73490.0,326516.0,49797.0,0.0,276719.0,40.61,0.0,22422.0,1718.0,0.0,15344.0,8940.0,250396.0,651750.0,516851.0,276719.0,259816.0,16903.0,0.0,9562.0,4315.0,632099.0,46155.0,27335.0,70948.0,120669.0,965.0,91856.0,27377.0,20000.0,0.0,0.0,2893.0,13821.0,7377.0,5493.0,1425.0,2724.0,649.0,373.0,702.0,0.0,3507.0,3270.0,57168.0,3993.0,18209.0,15170.0,94208.0,9532.0,2190.0,61291.0,30744.0,12842.0,184362.0,452.0,18209.0,7743.0,31398.0,2761.0,155271.0,5481.0,2262.0,294.0,0.0,14523.0,336.0,29227.0,33896.0,14387.0,0.0,55073.0,18525.0,39250.0,24140.0,24284.0,566648.0,70948.0,455009.0,40691.0,13877.0,14859.0,9200.0,0.0,7522.0,1678.0,28262.0,289848.0,6519.0,5259.0,0.0,0.0,247.0,3441.0,1260.0,1367.0,338.0,772.0,336.0,17.0,13685.0,0.0,51567.0,15255.0,154099.0,35256.0,52738.0,42048.0,179267.0,14608.0,22094.0,189105.0,142731.0,46461.0,467388.0,13425.0,52738.0,112926.0,56881.0,12098.0,411377.0,79768.0,33158.0,8906.0
Acre,2021,848531.0,188618.0,659914.0,0.0,12043.0,22053.0,386578.0,0.0,37929.0,39914.0,26485.0,19731.0,6754.0,0.0,0.0,0.0,13429.0,10832.0,2596.0,1984.0,0.0,11894.0,1760.0,0.0,218.0,59.0,0.0,45881.0,12959.0,0.0,19393.0,1693.0,206585.0,206585.0,54778.0,0.0,10166.0,30866.0,283117.0,0.0,209171.0,73946.0,358830.0,54778.0,0.0,304052.0,38.83,0.0,21459.0,3168.0,0.0,16891.0,10382.0,255369.0,644020.0,489701.0,304052.0,280041.0,24011.0,0.0,9284.0,3927.0,641947.0,44337.0,29609.0,71120.0,133391.0,1704.0,81889.0,30563.0,19731.0,0.0,0.0,3929.0,14218.0,10832.0,5219.0,1621.0,4125.0,1282.0,168.0,463.0,126.0,2918.0,1460.0,49672.0,2718.0,17391.0,17846.0,78074.0,7789.0,1654.0,57056.0,25828.0,11404.0,160149.0,258.0,17391.0,11078.0,26998.0,5697.0,132904.0,8411.0,2666.0,363.0,0.0,18498.0,789.0,34095.0,39914.0,13654.0,277.0,58840.0,21086.0,41031.0,24626.0,27273.0,544479.0,71120.0,431415.0,41944.0,13212.0,19287.0,10757.0,0.0,8950.0,1807.0,32392.0,304689.0,9351.0,6754.0,0.0,0.0,891.0,4907.0,2596.0,1250.0,568.0,1201.0,492.0,42.0,13191.0,151.0,55922.0,19626.0,156913.0,38314.0,53729.0,45144.0,186565.0,16837.0,25619.0,198312.0,145718.0,45995.0,483871.0,12953.0,53729.0,122313.0,60448.0,13590.0,411575.0,90469.0,31844.0,10394.0
